id,0,5,11,13,14
## Translators
#5  RusTranslation: Tommy-XL
#13 SChinese: fivefirex&ZeMingOH233 New Roles: 2T&MC-AS-Huier&xiaojin (Edit: Tanakanira)
#14 TChinese: NetherDragon_Tw (Edit: Soukunsandesu)
#?  German: DenKar

## 役職
Neutral,Neutral and Coven,Нейтрал и Ковен,第三陣営,中立阵营(包括巫师),中立陣營,Neutrale und Zirkel
MafiaInfoLong,"(Impostors):\nInitially, the Mafias cannot kill (still have a button).\nThey will be able to kill after Impostors except them are all gone.","(Предатель):\nИзначально Mafia не может убивать (но все еще есть кнопка убийства).\nОн сможет убивать после того, как все Предатели кроме него будут убиты или изгнаны.","(インポスター陣営):\n初期状態ではキルが封じられている。\n仲間が全員死亡後、自身もキルが可能になる。","(伪装者阵营):\n黑手党在游戏中有其他伪装者存活时不可以进行击杀。","(狼人陣營):\n在遊戲開始時,黑手黨沒有刀\n但是當他所有的隊友死亡後,他就可以開始殺人。",""(Verräter):\nUrsprünglich können die Mafiosi nicht töten (haben immer noch einen Knopf).\nSie werden in der Lage sein zu töten, nachdem alle anderen Impostors bis auf sie beseitigt wurden."
PuppeteerInfoLong,"(Impostors):\nThey can perform secondhand kills but cannot kill like other Impostors.\nTheir direct kill is blocked, but instead, the protected player forcibly kills another player first getting in kill range.","(Предатель):\nОн может совершить убийство с помощью помеченного игрока, но не может убивать как обычные Предатели.\nЕго прямое убийство заблокировано, но вместо этого он помечает игрока и справа от никнейма появляется красный ромб, после этого помеченный игрок насильно убивает игрока который первый попался ему на глаза","(インポスター陣営):\nキルした対象に、対象が次に近づいたクルーをキルさせる事ができる。\n対象がキルした相手がキルされた瞬間に発動するものであった場合、対象にその効果が反映される。\n普通のキルを行うことはできない。","(伪装者阵营):\n傀儡师的击杀对象会击杀其遇到的下一个船员。\n若后者在接触的同时死亡，则前者死亡。\n傀儡师不可以执行正常击杀。","(狼人陣營):\n當傀儡師嘗試殺人時,\n他會下咒離他最近的一個人,接著如果碰到非狼人陣營的人並且在殺人範圍內,\n被下咒對象將會砍死他且效果不再持續,\n傀儡師無法正常殺人。","(Verräter):Puppenspieler\nAnstatt jemanden zu töten, können "kills" einen Spieler zwingen, den nächsten Nicht-Impostor zu töten, dem er begegnet.\nWenn der Spieler, den deine Puppe getötet hat, eine Fähigkeit hat, die beim Tod aktiviert wird, wird der Effekt auf die Puppe und nicht auf dich selbst übertragen.\nDu kannst nicht normal töten."
DisperserInfoLong,"(Impostors):\nThe Disperser can shift to disperse everyone onto a random vent.","(Предатель):\nDisperser может Морфануться, чтобы телепортировать всех игроков к случайной вентиляции.","(Impostors):\nThe Disperser can shift to disperse everyone onto a random vent.","(伪装者阵营):\n驱散者可以将所有人分散到一个随机的通风口位置。","(Impostors):\nThe Disperser can shift to disperse everyone onto a random vent.","(Verräter):\nDer Disperser kann sich verwandeln, um alle auf einen zufälligen Lüftungsschacht zu verteilen."
FreezerInfoLong,"(Impostors):\nThe Freezer can shift to temporarily freeze someone in place. After they unshift, that person is allowed to move.","(Предатель):\nFreezer может Морфануться, чтобы временно заморозить игрока которого он выбрал. После того как длительность Морфа закончится, то игрок снова сможет двигаться.","(Impostors):\nThe Freezer can shift to temporarily freeze someone in place. After they unshift, that person is allowed to move.","(伪装者阵营):\n冰术师可以暂时将某人冻结在原地。\n冻结时间结束后，被冻结的玩家就可以移动。","(Impostors):\nThe Freezer can shift to temporarily freeze someone in place. After they unshift, that person is allowed to move.","(Verräter):\nDer Freezer kann sich verwandeln, um jemanden vorübergehend an Ort und Stelle zu einfrieren. Nachdem er sich zurückverwandelt hat, darf sich die eingefrorene Person wieder bewegen."
CleanerInfoLong,"(Impostors):\nThe Janitor can report a body to clean it, in return for their kill cooldown being used.","(Предатель):\nCleaner может попытаться зарепортить труп, чтобы убрать его, но его откат убийства сбросится.","(Impostors):\nThe Janitor can report a body to clean it, in return for their kill cooldown being used.","(伪装者阵营):\n清理工可以通过报告尸体来清理它，清理尸体会重置击杀冷却。","(Impostors):\nThe Janitor can report a body to clean it, in return for their kill cooldown being used.","(Verräter):\nDer Tatort Reiniger kann eine Leiche melden und diese säubern, dafür wird die Kill-Abklingzeit verwendet."
YingYangerInfoLong,"(Impostors):\nThe Ying Yanger can tag 2 crewmates. Once the crewmates go within kill distance of each other, they kill each other and the Ying Yanger is a regular impostor until the next meeting depending on settings.","(Предатель):\nYing Yanger может пометить 2 Члена Экипажа. Как только эти Члены Экипажа оказываются вместе, они убивают друг от друга, в зависимости от настроек Ying Yanger становится обычным Предателем до следующей встречи.","(Impostors):\nThe Ying Yanger can tag 2 crewmates. Once the crewmates go within kill distance of each other, they kill each other and the Ying Yanger is a regular impostor until the next meeting depending on settings.","(伪装者阵营):\n阴阳师可以标记两个船员，分别为“阴”与“阳”，如果他们靠太近，他们会因阴阳不合而排挤致死。\n阴阳师在他们死亡之前无法继续标记（具体根据主持人配置）","(Impostors):\nThe Ying Yanger can tag 2 crewmates. Once the crewmates go within kill distance of each other, they kill each other and the Ying Yanger is a regular impostor until the next meeting depending on settings.","(Verräter):\nDer Ying Yanger kann 2 Crewmitglieder markieren. Sobald sich die markierten Crewmitglieder innerhalb der Reichweite des Tötens befinden, töten sie sich gegenseitig und der Ying Yanger wird je nach Einstellung bis zur nächsten Besprechung ein regulärer Impostor."
TimeThiefInfoLong,"(Impostors):\nEvery kill cuts down discussion and voting time in meeting.\nDepending on option, the lost time is returned after they die.","(Предатель):\nКаждое его убийство сокращает время обсуждения и голосования на собраниях.\nВ зависимости от настроек потерянное время возвращается после того как он будет убит или изгнан","(インポスター陣営):\nキルを行うと会議時間が減少する。\nタイムシーフが追放または殺害されると、失われた会議時間が返ってきます。","(伪装者阵营):\n蚀时者每击杀一个人，会议持续时间将减少一定时间。\n如果蚀时者死亡，被偷取的时间的会议时间会返还。","(狼人陣營):\n時間小偷每次殺人將會減少會議時間\n如果時間小偷被丟出或被殺死,減少的會議時間將會回來","(Verräter):\nJeder Mord reduziert die Diskussions- und Abstimmungszeit in der Besprechung.\nJe nach Einstellung wird die verlorene Zeit nach ihrem Tod zurückerstattet."
SniperInfoLong,"(Impostors):\nSniper can shoot players so far away.\nthey kill a player on the extension line from Shapeshift point to release point.\nYou can perform normal kills after all bullets run out.","(Предатель):\nSniper может стрелять в игроков на расстоянии.\nОн убивает игрока который находится с ним на одной линии, от точки Морфа до точки возвращения в свой облик.\nОн можете совершать обычные убийства после того, как все его патроны закончатся","(インポスター陣営):\n遠くの敵を狙撃できるインポスター。\nシェイプシフトした地点から解除した地点の延長線上の敵を一人撃ち抜く。\n撃ちきるまで通常キル出来ない。","(伪装者阵营):\n狙击手拥有远距离击杀的能力。\n狙击手化形后，其击杀能够将其现在为止与化形时所处位置连线及其延长线上的一名玩家击杀。\n狙击手的子弹耗尽前，狙击手不可以进行通常击杀。","(狼人陣營):\n狙擊遠處的敵人\n子彈將從變形處延伸到取消變形處並往直線前進並殺死在這條線上非狼人陣營的人\n狙擊手無法正常殺人在狙擊手用光子彈前。","(Verräter):\nDer Scharfschütze kann Spieler aus großer Entfernung erschießen.\nSie töten einen Spieler auf der Verlängerungslinie vom Shapeshift-Punkt zum Freigabepunkt.\nNachdem alle Kugeln aufgebraucht sind, können normale Tötungen ausgeführt werden."
SilencerInfoLong,"(Impostors):\nThe first killing attempt will silence the crewmate in the next meeting. After that, you are a regular impostor.","(Предатель):\nПервая попытка убийства заставит Члена Экипажа замолчать на следующей встрече. После этого вы становитесь обычным Предателем.","(Impostors):\nThe first killing attempt will silence the crewmate in the next meeting. After that, you are a regular impostor.",(伪装者阵营):n第一次尝试杀人将在下一次会议上让船员朋友沉默。在那之后，你就是一名普通的伪装者了。","(Verräter):\nDer erste Mordversuch wird den Crewmitglied im nächsten Meeting zum Schweigen bringen. Danach bist du ein regulärer Impostor."
VoteStealerInfoLong,"(Impostors):\nThe Vote Stealer gains the vote of whoever they kill.","(Предатель):\nКаждый раз когда он кого-то убивает, он получает дополнительные голоса на встречах.","(Impostors):\nThe Vote Stealer gains the vote of whoever they kill.","(伪装者阵营):\n窃票者获得他所杀之人的投票权。","(Impostors):\nThe Vote Stealer gains the vote of whoever they kill.","(Verräter):\nDer Vote Stealer erhält die Stimme desjenigen, den er tötet."
CorruptedSheriffInfoLong,"(Impostors):\nA Corrupted Sheriff, or Traitor, spawns when the last Impostor is voted off inside a meeting or killed.\nNo Traitor will spawn if the Impostor died by other means.\nThe Traitor will replace the Sheriff role always when Corrupted Sheriff is not at 0%.\nYou can also make it so there is a minimum number of players for Traitor to spawn.\nOtherwise, it is just a regular Impostor with nothing different.","(Предатель):\nОскверненный шериф или Трейтор появляется, когда последнийе Предатели изгнаны на собрании или были убиты.\nТрейтор не появится если Предатели умерли по другой причине.\nТрейтор всегда будет заменять роль шерифа когда оскверненый шериф уровень которого не равен 0%.\nВы также можете сделать в настройках чтобы оскверненый шериф появлялся при минимальном количестве игроков.\nВ противном случае это просто обычный Предатель без каких-либо отличий.","(Impostors):\nA Corrupted Sheriff, or Traitor, spawns when the last Impostor is voted off inside a meeting.\nNo Traitor will spawn if the Impostor died by other means.\nThe Traitor will replace the Sheriff role always when Corrupted Sheriff is not at 0%.\nYou can also make it so there is a minimum number of players for Traitor to spawn.","(伪装者阵营):\n当最后一个伪装者在会议中被投票淘汰时，就会产生一个背叛的警长，或叛徒。\n如果伪装者以其他方式死亡，则不会产生叛徒。\n当背叛的警长没有达到0%时，叛徒将永远取代警长的角色。\n你也可以设置最低叛徒数量。","(Verräter):\nEin korrupter Sheriff oder Verräter erscheint, wenn der letzte Impostor während einer Besprechung abgewählt wird.\nEs wird kein Verräter erscheinen, wenn der Impostor durch andere Mittel gestorben ist.\nDer Verräter ersetzt immer die Rolle des Sheriffs, solange der korrupte Sheriff nicht bei 0% ist.\nEs kann auch festgelegt werden, dass eine Mindestanzahl an Spielern vorhanden sein muss, damit ein Verräter erscheint."
SwooperInfoLong,"(Impostors):\nThe Swooper can vent to temporarily turn invisible. \nThis means the Swooper cannot survive Demolitionist, if they end up killing them. \nThe Swooper can never vent normally. Meaning the only time they can ever vent is when it is time to activate their ability.\nVenting while invisible to the other players, will cause the swooper to become visible again, removing your façade.","(Предатель):\nSwooper может временно стать невидимым. \nЭто означает что если Swooper убьет подрывника то для Swooper все кончено. Swooper никогда не сможет вентоваться.","(Impostors):\nThe Swooper can vent to temporarily turn invisible. \nThis means if the Swooper kills demolitionist, it is over for the Swooper. \nThe Swooper can never vent.","(伪装者阵营):\n隐身人可以通过使用通风管道键在一段时间隐身，这意味着当隐身人杀死同命爆手后，他的隐身效果就结束了。\n隐身人永远不能长时间使用通风通风口。","(Verräter):\nDer Swooper kann venten um sich vorübergehend unsichtbar machen. \nDas bedeutet, dass der Swooper nicht gegen den Demolitionist gewinnen kann, wenn sie ihn töten. \nDer Swooper kann niemals durch Lüftungsschächte gehen, was bedeutet, dass sie nur dann venten können, wenn es Zeit ist, ihre Fähigkeit zu aktivieren.\nWenn der Swooper unsichtbar ist, können ihn andere Spieler nicht sehen. Wenn er jedoch ventet, wird er für andere Spieler sichtbar und die Tarnung wird aufgehoben."
CamouflagerInfoLong,"(Impostors):\nThe Camouflager can shift to temporarily make everyone shift into who they shifted into. After shifting, everyone is the same person. WHen the duration is over or a meeting is called, everyone returns back to normal form.","(Предатель):\nCamouflager может временно превратить всех игроков в тех, в кого он Морфанулся. \nКогда длительность Морфа проходит или же происходит Срочное собрание/Репорт, все игроки возвращаются в нормальный облик.","(Impostors):\nThe Camouflager can vent to temporarily make themselves gray. While gray, they have no name and no cosmetics. When a body is called or after the duration is up, they turn back to their regular player.","(伪装者阵营):\n隐蔽者可以伪装，使每个人暂时变成灰色。伪装后，每个人都没有名字，也没有宠物。当持续时间结束或召开会议后，所有人会变回原来的样子。","(Verräter):Der Camouflager verwandelt die ganze Crew in den Spieler in den er sich verwandelt.\nNachdem die Zeit abgelaufen ist verwandeln sich alle zurück."
NinjaInfoLong,"(Impostors):\nThe Ninja is an Impostor that can kill players from anywhere.\nIf a kill is made during a shape-shift, the kill is guarded. When the transformation is released, the player teleports to the player they used their button on and does the kill.\nWhen not shape-shifting, it is possible to make normal kills./nThere is no transformation cooldown, and the transformation can be performed indefinitely.","(Предатель):\nNinja — это Предатель который может убивать игроков где бы они не находились.\nЕсли вы Морфанетесь и попытаетесь нажать на Kill то вы пометите свою цель. Когда он возвращается в свой облик Ninja телепортируется к помеченному игроку на котором он использовал свою кнопку Kill и он совершает убийство.\nЕсли он не Морфиться он может совершать обычные убийства./nВремя отката морфлинга отсутствует и морфануться можно в любое время.","(インポスター陣営):\nどこからでもプレイヤーをキルすることができるインポスター。\nシェイプシフト中にキルを行うとキルがガードされ、変身を解除するとキルボタンを押したプレイヤーにテレポートし、キルをする。\nシェイプシフトしていないときは普通のキルをすることが可能で、変身クールダウンがなく、無限に変身できる。","(伪装者阵营):忍者是一个伪装者，可以从任何地方杀死其他人。\n如果在变身过程中进行击杀，击杀会受到保护。\n当变身释放时，忍者会传送到他们使用按钮的船员身边并进行击杀。\n当不进行变身时，可以进行正常击杀。\n没有变身的冷却时间，变身可以无限期地进行。","(Verräter):Der Ninja ist ein Impostor, der Spieler von überall aus töten kann.\nWenn ein Kill während eines Shape-Shifts erfolgt, wird der Spieler markiert. Wenn die Transformation freigegeben wird, teleportiert sich der Spieler zum Spieler, auf den er seinen Button verwendet hat, und führt den Kill aus.\nWenn er sich nicht im Shape-Shift-Modus befindet, können normale Kills durchgeführt werden.\nEs gibt keine Transformationsabklingzeit und die Transformation kann unbegrenzt oft durchgeführt werden."
GrenadierInfoLong,"(Impostors):\nThe Grenadier uses their shifitng ability to bring all crew's vision to none. Any non-impostor sided players will have their vision set to 0, and won't be able to see. When the Grenadier unshifts, shortly after the crew will have normal vision.","(Предатель):\nГренадер использует свою способность Морфлинга чтобы свести дальность обзора всей команды к нулю. \nУ всех игроков кроме Предателей, Дальность обзора будет установлено на 0, и они не смогут видеть. После окончания времени Морфлинга у всех Членов Экипажа вернётся прежний обзор","(Impostors):\nThe Grenadier uses their shifitng ability to bring all crew's vision to none. Any non-impostor sided players will have their vision set to 0, and won't be able to see. When the Grenadier unshifts, shortly after the crew will have normal vision.","(伪装者阵营):\n致盲师使用他的变形键，将所有船员的视野调为零。\n所有非伪装者的的玩家视野都会被设置为0，并且无法看到。\n当致盲师解除变身时，所有船员的视野会恢复原来的样子。","(Impostors):\nThe Grenadier uses their shifitng ability to bring all crew's vision to none. Any non-impostor sided players will have their vision set to 0, and won't be able to see. When the Grenadier unshifts, shortly after the crew will have normal vision.","(Verräter):\nDer Grenadier nutzt seine Fähigkeit, um allen Crewmitgliedern die Sicht zu nehmen. Alle nicht-Verräter-Spieler haben dann eine Sicht von 0 und können nichts sehen. Wenn der Grenadier aus der Verwandlung herauskommt, kehrt die normale Sicht für die Crew zurück."
MinerInfoLong,"(Impostors):\nThe Miner can pet their pet to enter the vent they last went in.","(Предатель):\nMiner может Морфануться чтобы запрыгнуть в Вентиляцию в которое он запрыгивал в последний раз.","(Impostors):\nThe Miner can shapeshift to enter the vent they last went in.","(伪装者阵营):\n矿工可以通过宠物，让他回到最后一次使用的通风口","(Impostors):\nThe Miner can shapeshift to enter the vent they last went in.","(Verräter):\nDer Bergarbeiter kann sein Haustier streicheln, um durch den letzte von ihm betretenem Lüftungsschacht zu gelangen."
ManipulatorInfoLong,"(Impostors):\nThe Manipulator has a longer kill cooldown than other Impostors. When someone reports a body killed by the Manipulator, the next meeting is sabotaged. When this happens, the anonymous voting option will be flipped, meaning if you had them on they are off for this meeting. In addition, the voting and discussion time has been set to a predetermined amount by host. The Manipulator's voting and discussion time overwrites the ones TimeThief has.","(Предатель):\nУ Манипулятора (Manipulator) большой откат убийства, чем у других Предателей. Когда кто-то сообщает о трупе, убитым Манипулятором, следующая встреча будет саботирована. Когда это произойдет, настройка анонимного голосования будет пеключена, это означает, что если настройка была включена, то теперь она будет отключены для этой встречи. Кроме того, время голосования и обсуждения было заранее установлено хостом.","(Impostors):\nThe Manipulator has a longer kill cooldown than other Impostors. When someone reports a body killed by the Manipulator, the next meeting is sabotaged. When this happens, the anonymous voting option will be flipped, meaning if you had them on they are off for this meeting. In addition, the voting and discussion time has been set to a predetermined amount by host.","(伪装者阵营):\n机械师的击杀冷却比普通伪装者的冷却要长。\n当有人报告被机械师杀死的尸体时，下一轮的会议会遭到破坏。\n这意味着下次会议会显示所有的玩家投票信息（前提开匿名投票选项），此外，主持人设置的基础会议时间将会被篡改，机械师会盗取会议的投票与讨论时间。","(Impostors):\nThe Manipulator has a longer kill cooldown than other Impostors. When someone reports a body killed by the Manipulator, the next meeting is sabotaged. When this happens, the anonymous voting option will be flipped, meaning if you had them on they are off for this meeting. In addition, the voting and discussion time has been set to a predetermined amount by host.","(Verräter):\nDer Manipulator hat eine längere Abklingzeit für das Töten als andere Impostors. Wenn jemand einen Leichnam meldet, der vom Manipulator getötet wurde, wird das nächste Meeting sabotiert. Wenn dies geschieht, wird die anonyme Abstimmungsoption umgedreht, d.h. wenn sie aktiviert war, ist sie für dieses Meeting deaktiviert. Darüber hinaus wurde die Abstimmungs- und Diskussionszeit von dem Gastgeber auf einen vorbestimmten Betrag eingestellt."
IdentityTheftInfoLong,"(Impostors):\nThe Identity Thief shifts into whoever they kill. The disguise lasts until they are ready to kill again.","(Предатель):\nThe Identity Thief (Похитители личных данных) превращаются в тех, кого они убивают. Маскировка длится до тех пор, пока они не будут готовы снова убивать.","(Impostors):\n The Identity Thief shifts into whoever they kill. The disguise lasts until they are ready to kill again.","(伪装者阵营):\n身份窃贼会转换成他所杀的玩家的职业，这种伪装会持续到下次所击杀目标。","(Impostors):\n The Identity Theft shifts into whoever they kill. The disguise lasts until they are ready to kill again.","(Verräter):\nDer Identitätendieb schlüpft in die Gestalt der Person, die er tötet. Die Verkleidung bleibt bestehen, bis er bereit ist erneut zu töten."
EscapistInfoLong,"(Impostors):\nEscapists can use their pet to teleport and mark locations.\nThe first time they pet, it will mark a location.\nThe next time they pet, it will teleport them back to the location they marked, and they are able to mark another location. The process repeats.\nThe Host can also turn off venting for the Escapist.\nMarked Locations are not cleared after meeting. So your location will be saved.\nThe Escapist will have to use the Shapeshift button if the host has disabled pets.","(Impostors):\nEscapists can use their pet to teleport and mark locations.\nThe first time they pet, it will mark a location.\nThe next time they pet, it will teleport them back to the location they marked, and they are able to mark another location. The process repeats.\nThe Host can also turn off venting for the Escapist.\nMarked Locations are not cleared after meeting. So your location will be saved.","(Impostors):\nEscapists can use their pet to teleport and mark locations.\nThe first time they pet, it will mark a location.\nThe next time they pet, it will teleport them back to the location they marked, and they are able to mark another location. The process repeats.\nThe Host can also turn off venting for the Escapist.\nMarked Locations are not cleared after meeting. So your location will be saved.","(Impostors):\nEscapists can use their pet to teleport and mark locations.\nThe first time they pet, it will mark a location.\nThe next time they pet, it will teleport them back to the location they marked, and they are able to mark another location. The process repeats.\nThe Host can also turn off venting for the Escapist.\nMarked Locations are not cleared after meeting. So your location will be saved.","(Impostors):\nEscapists can use their pet to teleport and mark locations.\nThe first time they pet, it will mark a location.\nThe next time they pet, it will teleport them back to the location they marked, and they are able to mark another location. The process repeats.\nThe Host can also turn off venting for the Escapist.\nMarked Locations are not cleared after meeting. So your location will be saved.","(Verräter):\nHoudinis können ihr Haustier benutzen, um sich zu teleportieren und Orte zu markieren.\nBeim ersten Mal Haustier streicheln wird ein Ort markiert.\nBeim nächsten mal wird man zum markierten Ort teleportiert und kann einen weiteren Ort markieren. Der Vorgang wiederholt sich.\nDer Host kann auch das venten für den Houdini deaktivieren.\nMarkierte Orte werden nach der Besprechung nicht gelöscht."
BomberInfoLong,"(Impostors):\nThe Bomber plants a bomb on someone via their kill button. You can change whether the Bombed player is visible to all impostors. The Bombed player will kill the next person that shows up to them after they have been bombed. Once they kill someone, they are roleblocked for some time defined by the host and cannot move during this too. You can also change whether or not the Bomber cannot move either. If a meeting is called before they can kill someone, the Bombed player dies on the spot. There can only be one Bombed player at a time.","(Impostors):\nThe Bomber plants a bomb on someone via their kill button. You can change whether the Bombed player is visible to all impostors. The Bombed player will kill the next person that shows up to them after they have been bombed. Once they kill someone, they are roleblocked for some time defined by the host and cannot move during this too. You can also change whether or not the Bomber cannot move either. If a meeting is called before they can kill someone, the Bombed player dies on the spot. There can only be one Bombed player at a time.","(Impostors):\nThe Bomber plants a bomb on someone via their kill button. You can change whether the Bombed player is visible to all impostors. The Bombed player will kill the next person that shows up to them after they have been bombed. Once they kill someone, they are roleblocked for some time defined by the host and cannot move during this too. You can also change whether or not the Bomber cannot move either. If a meeting is called before they can kill someone, the Bombed player dies on the spot. There can only be one Bombed player at a time.","(Impostors):\nThe Bomber plants a bomb on someone via their kill button. You can change whether the Bombed player is visible to all impostors. The Bombed player will kill the next person that shows up to them after they have been bombed. Once they kill someone, they are roleblocked for some time defined by the host and cannot move during this too. You can also change whether or not the Bomber cannot move either. If a meeting is called before they can kill someone, the Bombed player dies on the spot. There can only be one Bombed player at a time.","(Verräter):\nDer Bomber platziert über seinen Kill-Button eine Bombe auf jemandem. Du kannst einstellen, ob der Bombenopfer für alle Impostors sichtbar ist oder nicht. Der Bombenopfer wird die nächste Person töten, die ihm nach der Bombardierung begegnet. Sobald sie jemanden getötet haben, sind sie für eine bestimmte Zeit, die vom Host festgelegt wird, blockiert und können sich in dieser Zeit nicht bewegen. Du kannst auch einstellen, ob der Bomber sich in dieser Zeit ebenfalls nicht bewegen kann. Wenn vor dem Töten jemandes eine Besprechung stattfindet, stirbt das Bombenopfer an Ort und Stelle. Es kann immer nur ein Bombenopfer geben."

# マッドメイト系役職
MadmateInfoLong,"(Madmates):\nCrewmate, but they belong to team Impostors, but they don't know who are Impostors.\nImpostor and are unrecognizable to each other. Can use vent, no tasks.","(Предатель):\nЧлен экипажа, но он принадлежат к команде Предателя, но он не знает кто является Предателем.\nНеузнаваемы друг для друга. Может использовать вентиляцию, но нет заданий.","(インポスター陣営):\nクルーだがインポスターの味方をする。\nインポスターと互いに認識できない。\nベントが使え、タスクはない。","(叛徒职业):\n叛徒不可以击杀或者破坏，可以跳通风口。","(狼人陣營):\n船員,但是他們屬於狼人陣營.\n狼人無法知道叛徒是誰,\n他可以跳洞且沒有任務。","(Madmates):\nCrewmate, jedoch gehört er zum Team Impostors, aber er weiß nicht, wer die Impostors sind.\nImpostor und Madmate erkennen einander nicht. Kann Vent benutzen, keine Aufgaben."
ParasiteInfoLong,"(Madmates):\nThe Parasite is a Madmate with the ability to shapeshift, kill, sabotage, and vent.\nThey can kill Impostors but are not counted as a killing role. Work with the impostors if you haven't already slaughtered them.","(Безумец):\nПаразит — это Безумец со способностью Морфиться, убивать, саботировать и вентоваться.\nОни могут убивать Предателей, но не считаются убийственной ролью. Работайте вместе с Предателями, если вы еще не убили их","(Madmates):\nThe Parasite is a Madmate with the ability to shapeshift, kill, sabotage, and vent.\nThey can kill Impostors but are not counted as a killing role. Work with the impostors if you haven't already slaughtered them.","(叛徒阵营):\n寄居者是一个可以变形、击杀、破坏以及通风口的叛徒。\n他可以杀死所有人，但他属于伪装者阵营，如果伪装者们还活着就帮助他们吧。","(Madmates):\nDer Parasit ist ein Madmate mit der Fähigkeit, sich zu verwandeln, zu töten, sabotieren und venten.\nSie können Impostors töten, werden jedoch nicht als tötende Rolle gezählt.\nArbeiten Sie mit den Impostors zusammen,wenn Sie sie nicht bereits ausgeschaltet haben,."
MadGuardianInfoLong,"(Madmates):\nCrewmate, but they belong to team Impostors, one type of Madmates.\MadGuardian cannot use vents, while they can guard kills by Impostors after finishing all tasks.","(Предатель):\nЧлен экипажа, но он принадлежит к команде Предателя, одному из типов Madmate.\nMadGuardian не может использовать вентиляцию, но может предотвратить свое убийство Предателем после выполнения всех его заданий","(インポスター陣営):\nクルーだがインポスターの味方をする。\nインポスターと互いに認識できない。\nタスクを全て完了させるとｼｰﾙﾄﾞが付与される。","(叛徒职业):\n背叛的守卫不可以击杀、破坏或使用通风口。\n背叛的守卫完成任务之后，可以免疫所有击杀。","(狼人陣營):\n船員,但是他們屬於狼人陣營.\n狼人和他們無法互相知道誰是叛徒,誰是狼\n當背叛的天使完成所有任務時,他將有一個盾牌。","(Madmates):\nEin Crewmitglied, das zum Team der Impostoren gehört, aber nicht weiß, wer die Impostoren sind.\nIm Vergleich zu Madmates kann MadGuardian keine Lüftungsschächte nutzen, kann aber nach Abschluss aller Aufgaben Tötungen der Impostors verhindern.
MadSnitchInfoLong,"(Madmates):\nCrewmate, but they belong to team Impostors, one type of Madmates.\nThey can see who is the Impostor after finishing all their tasks.\nDepending on option, they can use vents.","(Предатель):\nЧлен экипажа, но он принадлежит к команде Предателя, одному из типов Madmate.\nОн может увидеть, кто является Предателем, после того как выполнит все свои задания.\nВ зависимости от настроек он может использовать вентиляцию.","(インポスター陣営):\nクルーだがインポスターの味方をする。\nインポスターと互いに認識できないが、タスクを全て完了させるとマッドスニッチからインポスターを認識できるようになる。","(叛徒职业):\n背叛的告密者与伪装者不互认，不可以击杀、破坏或者使用通风口。\n背叛的告密者完成所有任务之后，其与伪装者互认。","(狼人陣營):\n船員,但是他們屬於狼人陣營.\n狼人和他們無法互相知道誰是叛徒,誰是狼\n當背叛的告密者做完任務時,狼人和背叛的告密者將可以互相知道對方。","(Madmates):\nCrewmate, aber sie gehören zum Team Impostors, eine Art von Madmates.\nSie können sehen, wer der Impostor ist, nachdem sie alle ihre Aufgaben erledigt haben.\nJe nach Einstellung können sie auch Lüftungsschächte benutzen."
SKMadmateInfoLong,"(Madmates):\nThe SidekickMadmate is an acquired Madmate Role assigned by Impostors in task phases.\nSome kind of Shapeshifter-based Impostors can give SidekickMadmate by Shapeshifting next to a target.\nThey have no tasks.","(Предатель):\nSideKickMadmate это приобретенная роль Madmate, назначается Предателям на этапе выполнений заданий.\nНа основе Shapeshifters некоторые Предатели могут дать роль SidekickMadmate, когда они Морфяться рядом с целью.\nУ них нет заданий","(インポスター陣営):\n変身した際に一番近かった人がなれる役職。タスクはない。","(叛徒职业):\n一些伪装者职业变形时，其附近的与其距离最近的玩家的职业有概率转化为该职业。\n被收买的叛徒与伪装者不互认。","(狼人陣營):\n當狼人變形時\n離狼人變形最近的一個人將有機率轉化為叛徒跟班\n他沒有任務,且叛徒跟班與狼人無法互相知道。","(Madmates):\nDer JägerMadmate ist eine erworbene Rolle von Madmates, die von Impostors in den Task-Phasen zugewiesen wird.\nEinige Arten von Formwandler-basierten Impostors können den JägerMadmate verleihen, indem sie sich neben ein Ziel verwandeln.\nSie haben keine Aufgaben."
CrewPostorInfoLong,"(Neutrals):\nThe CrewPostor can do tasks to kill the Nearest person. \nThe Nearest person can be any role, so you can even kill your fellow impostors.","(Предатель):\nОн может выполнять задания, чтобы убить Ближайшего игрока. \nБлижайшим человеком может быть любая роль, так что вы даже можете убить своих Предателей.","(Impostors):\nThe CrewPostor can do tasks to kill the Nearest person. \nThe Nearest person can be any role, so you can even kill your fellow impostors.","(中立阵营):\n船长可以通过做任务来杀死最近的人。\n无论最近的人是什么职业、阵营都可以杀死他。""(Neutrals):\nDer CrewPostor kann Aufgaben erledigen, um die nächstgelegene Person zu töten. \nDie nächstgelegene Person kann jede Rolle sein, also können Sie sogar Ihre Mitimpostoren töten."

# 両陣営可能役職
